customer_binary,user_binary,device,os,browser,weekday,hour,product_views_hour,cart_views_hour,purchase_views_hour,page_views_hour,product_views_journey,cart_views_journey,purchase_views_journey,page_views_journey
00eVKE2/0U6GyaSwxxBq2A==,E2fuzM3fZEmvjelF4H9h6Q==,2.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
MWY5bBVHEEOWUfnTwFnnHQ==,NQiDnoy1dkid+Ein0UFQsg==,9.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
MWY5bBVHEEOWUfnTwFnnHQ==,NQiDnoy1dkid+Ein0UFQsg==,9.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
3a1+o8O8UUuye6u4ZjcoaQ==,lyExvyOHk0eJH3kX9UcJqw==,53.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
giY70S63zEKSA+4fCiC2jQ==,or8Q0f0dkkq9+bujXbNouA==,2.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
8a3y6LMcqkeQFa7wZsDkdQ==,3lkE09RTAU218hncLZT1Lg==,0.0,1.0,0.0,1,22,3,0,0,3,3,3,3,3
8a3y6LMcqkeQFa7wZsDkdQ==,3lkE09RTAU218hncLZT1Lg==,0.0,1.0,0.0,1,22,3,0,0,3,3,3,3,3
8a3y6LMcqkeQFa7wZsDkdQ==,3lkE09RTAU218hncLZT1Lg==,0.0,1.0,0.0,1,22,3,0,0,3,3,3,3,3
O0gXPxm1z0yo2WOV0o+Xkw==,9NA6QGTGC0iExma4gGSFnQ==,72.0,0.0,1.0,1,22,0,1,0,1,1,1,1,1
giY70S63zEKSA+4fCiC2jQ==,A/qLd6KJAk29UKxACyFChQ==,42.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
Vfb5r+7yXk68byerajScsQ==,Lc/xZxBUv0yG7Fj+4w9AUw==,0.0,3.0,0.0,1,22,1,0,0,1,1,1,1,1
z6qHyTx3M0GmcKYDKB8Avg==,x/bPF8cby0a0/Q3Ez1girw==,6.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
lKoFpuHAH06xje2KqaS8Fw==,bTQraeXo1EGqrlZs6nqIlA==,0.0,1.0,0.0,1,22,1,0,0,1,1,1,1,1
MWY5bBVHEEOWUfnTwFnnHQ==,xkcBhrVrxk6MktQKS8BC3w==,0.0,1.0,0.0,1,22,6,0,0,6,6,6,6,6
MWY5bBVHEEOWUfnTwFnnHQ==,xkcBhrVrxk6MktQKS8BC3w==,0.0,1.0,0.0,1,22,6,0,0,6,6,6,6,6
MWY5bBVHEEOWUfnTwFnnHQ==,xkcBhrVrxk6MktQKS8BC3w==,0.0,1.0,0.0,1,22,6,0,0,6,6,6,6,6
MWY5bBVHEEOWUfnTwFnnHQ==,xkcBhrVrxk6MktQKS8BC3w==,0.0,1.0,0.0,1,22,6,0,0,6,6,6,6,6
MWY5bBVHEEOWUfnTwFnnHQ==,xkcBhrVrxk6MktQKS8BC3w==,0.0,1.0,0.0,1,22,6,0,0,6,6,6,6,6
MWY5bBVHEEOWUfnTwFnnHQ==,xkcBhrVrxk6MktQKS8BC3w==,0.0,1.0,0.0,1,22,6,0,0,6,6,6,6,6
